Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Joystick module","For movement in games.",1,0.39,"https://robu.in/product/joystick-module-ps2-breakout-sensor/?gad_source=1&gad_campaignid=17416544847&gbraid=0AAAAADvLFWd16S0UN2lLnWW7IwNin3RPK&gclid=Cj0KCQjw1ZjOBhCmARIsADDuFTBnoB8G2GWHQJqpqbleYGP4lms0CyjmuVs7xqmrRPNV2CUWnXmZnzAaAro4EALw_wcB#tab-specification","Robu.in"
"Solenoid driver board","For driving the solenoid",1,2.10,"https://cart.jlcpcb.com/quote?rand=0.9395806180197926","jlcpcb"
"Header male pins","For the driver solenoid board",1,0.39,"https://robu.in/product/1-month-warranty-1004/","Robu.in"
"10k resistor","for the solenoid driver board",10,0.02,"https://robu.in/product/10k-ohm-1-4w-0805-surface-mount-chip-resistor-pack-of-10/","Robu.in"
"220 ohms resistor","for the solenoid driver board",10,0.04,"https://robu.in/product/rc0805fr-07220rlyageores-smd-220-ohm-5-1-2w-0805/","Robu.in"
"3d print","the casing of the whole project.",1,6.63,"https://robu.in/product/3d-printing-service/","Robu.in"
"Mosfet","for driving the solenoid",1,0.42,"https://robu.in/product/irlz44n/","Robu.in"
"Solenoid","For recoil",1,5.90,"https://www.amazon.in/xcluma-JF-0826B-Push-Pull-Solenoid-Electromagnet/dp/B09XK2MBQP/ref=sr_1_11?crid=2OGNLOZZLV83X&dib=eyJ2IjoiMSJ9.umb8BjXkUde4W9JdoGBGTpUo44JMsDApWgsLFf6zy-izGcXXS4jnMjmd1n7i2uZjmkW2flWu61hHx28_pBS5vtX_XbPJXjUhrw-3QIqyKMr_T_JV_VLslWSzXTqqIbAZJIC4JiDRZQNABuZl7xWQc8Guy25rp5RahcMdRmzgLs0pSnxqvJKZxdvpyaBOL2Sr04M3Fgh0CvqBw6zYVRGH7RhoUQfYxs4frZ_haFD1WCZwVzNizI8UoK-BfFGTaJXz4PQ0wcAuebeF24dvo15_Eq-cn9d8dlorLjfrgNY5UC0.qo-IdrCMDmuUfK3P60wgLx75UqRKmRooVDsmxpnGV7E&dib_tag=se&keywords=push+pull+solenoid&qid=1773959600&s=industrial&sprefix=push+pull+soleno%2Cindustrial%2C357&sr=1-11","Amazon"
"Battery","for power",1,3.00,"https://robu.in/product/1500mah-pcm-protected-micro-li-po-battery/?gad_source=1&gad_campaignid=17427802559&gbraid=0AAAAADvLFWchLwkMwlofsW0w9WcQhsEpI&gclid=Cj0KCQjwve7NBhC-ARIsALZy9HUmJMmP1RaLOc8BxUCM5mQur5eHQPsbZdyo2UnC0aJWUkwpvi8gdJ4aAnpxEALw_wcB","Robu.in"
"Capacitor","for smoothening out solenoid spikes",1,0.12,"https://robu.in/product/1000uf-25v-electrolytic-capacitor-dip-pack-of-5/","Robu.in"
"boost converter","For converting 3.7v to 5v ",1,0.85,"https://robu.in/product/3-7v-to-9v-5v-2a-multimeter-modified-charger-boost/","Robu.in"
"momentary push button","For the reload, trigger.",5,1.05,"https://robu.in/product/red-r13-507-16mm-no-lock-push-button-momentary-switch-3a-250v/","Robu.in"
"IR emitter leds","for emitting ir light so that the camera receives it.",1,3.43,"https://www.amazon.in/Invento-Emitter-Transmitter-Infrared-Projects/dp/B07GD1JDR6/ref=pd_sbs_d_sccl_1_1/524-7679844-7465501?pd_rd_w=GFPNs&content-id=amzn1.sym.d1406b44-aa69-47e4-9270-f613e12d52dc&pf_rd_p=d1406b44-aa69-47e4-9270-f613e12d52dc&pf_rd_r=E18WGV9XDFZX32CHGQKY&pd_rd_wg=f2trw&pd_rd_r=78b4c76e-9fae-40b8-a094-a1a68b920bbc&pd_rd_i=B07GD1JDR6&psc=1","Amazon"
"IR camera","For positioning of the cursor.",1,23.90,"https://robu.in/product/dfrobot-gravity-ir-positioning-camera-for-arduino/","Robu.in"
